Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","143","Maroc","MAD","Moroccan Dirham","5540","Unités de monnaie locale standardisée par USD","2018","2018","","9.3861","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","137","Maurice","MUR","Mauritius Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","33.9344","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","136","Mauritanie","MRO","Ouguiya","5540","Unités de monnaie locale standardisée par USD","2018","2018","","35.6775","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","138","Mexique","MXN","Mexican Peso","5540","Unités de monnaie locale standardisée par USD","2018","2018","","19.2443","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","145","Micronésie (États fédérés de)","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","140","Monaco","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","141","Mongolie","MNT","Tugrik","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2472.4841","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","273","Monténégro","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","142","Montserrat","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","144","Mozambique","MZN","Mozambique Metical","5540","Unités de monnaie locale standardisée par USD","2018","2018","","60.3262","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","28","Myanmar","MMK","Kyat","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1429.808","X","Sources internationales sûres","Data from UNSD AMA"
